iter	RMSE
0	8.936908247
1	8.753424683
2	8.570314102
3	8.380247376
4	8.20372093
5	8.060209618
6	7.892579739
7	7.746948834
8	7.584682535
9	7.425963369
10	7.28511956
11	7.142227732
12	7.01610761
13	6.892751033
14	6.771699027
15	6.655520426
16	6.531041319
17	6.431811992
18	6.302343702
19	6.189961306
20	6.099696303
21	6.005391286
22	5.908774743
23	5.817063271
24	5.722380194
25	5.622144942
26	5.541554198
27	5.45956023
28	5.368108904
29	5.292922105
30	5.212147616
31	5.13239465
32	5.042207877
33	4.962584905
34	4.8912185
35	4.820428499
36	4.755680939
37	4.689825419
38	4.64064383
39	4.599055592
40	4.533135718
41	4.464627533
42	4.415867554
43	4.356407211
44	4.292898346
45	4.249395251
46	4.206047506
47	4.163083412
48	4.118457803
49	4.079846539
50	4.018532997
51	3.976756155
52	3.927606037
53	3.882192741
54	3.832064837
55	3.798672536
56	3.765450765
57	3.727994437
58	3.693499808
59	3.663096421
60	3.629830504
61	3.590190172
62	3.557743192
63	3.528786696
64	3.494314414
65	3.468957245
66	3.439323603
67	3.402488736
68	3.365835852
69	3.331596468
70	3.30806857
71	3.282616512
72	3.251815012
73	3.222400113
74	3.199777842
75	3.181816733
76	3.156927518
77	3.130603129
78	3.107316409
79	3.081763852
80	3.057378436
81	3.043016149
82	3.02317882
83	3.002035489
84	2.981814782
85	2.96102708
86	2.936401312
87	2.918605789
88	2.900737558
89	2.89025961
90	2.871496951
91	2.850446559
92	2.830596975
93	2.812999488
94	2.794720522
95	2.782029739
96	2.763191642
97	2.749269355
98	2.731356538
99	2.71811394
100	2.702074605
101	2.690371582
102	2.679710705
103	2.667337801
104	2.654204602
105	2.647644539
106	2.634650545
107	2.62390678
108	2.612245755
109	2.601978297
110	2.592780558
111	2.578339997
112	2.564594489
113	2.553102008
114	2.541969858
115	2.53194296
116	2.521130761
117	2.510785453
118	2.503343369
119	2.493348037
120	2.483254723
121	2.474206999
122	2.462240537
123	2.455398327
124	2.447425317
125	2.43856928
126	2.430209817
127	2.424935784
128	2.41598489
129	2.404251478
130	2.392803374
131	2.383101683
132	2.374039379
133	2.364313029
134	2.356473683
135	2.350373262
136	2.343074712
137	2.334780853
138	2.327564201
139	2.319047161
140	2.313257625
141	2.304444601
142	2.296626642
143	2.289320282
144	2.280555188
145	2.276852707
146	2.271443689
147	2.267260673
148	2.261256208
149	2.254714892
150	2.247599227
151	2.236749845
152	2.231581765
153	2.223956975
154	2.217104832
155	2.211757166
156	2.208248414
157	2.201584123
158	2.197318701
159	2.189702449
160	2.18367995
161	2.177917631
162	2.173142677
163	2.166056747
164	2.159515483
165	2.155166703
166	2.149701819
167	2.141600631
168	2.135157077
169	2.127455886
170	2.119864159
171	2.116043651
172	2.113122921
173	2.107468755
174	2.100561517
175	2.094867744
176	2.088234866
177	2.079517162
178	2.0726524
179	2.065226628
180	2.057976013
181	2.048950288
182	2.046716224
183	2.039635296
184	2.035712245
185	2.030325182
186	2.026229879
187	2.019683429
188	2.01482083
189	2.010509607
190	2.004525787
191	1.999674715
192	1.995344384
193	1.990080163
194	1.984756706
195	1.978783323
196	1.97451784
197	1.966063221
198	1.959355102
199	1.952428501
200	1.946525127
201	1.941645229
202	1.937603068
203	1.93385361
204	1.928734887
205	1.924961982
206	1.918463487
207	1.913021476
208	1.907936867
209	1.901473771
210	1.896296099
211	1.894116699
212	1.890841319
213	1.884936862
214	1.883180332
215	1.878135392
216	1.876383488
217	1.872621815
218	1.86699318
219	1.86399215
220	1.859391025
221	1.853765251
222	1.849626003
223	1.844734079
224	1.842682672
225	1.837351182
226	1.835193917
227	1.830774542
228	1.825100217
229	1.821779032
230	1.819576818
231	1.814086256
232	1.808686527
233	1.807010793
234	1.805699125
235	1.804517072
236	1.801825771
237	1.798876056
238	1.796865963
239	1.791366778
240	1.787855703
241	1.786618192
242	1.784743491
243	1.781211164
244	1.776550614
245	1.774900138
246	1.773567967
247	1.77143015
248	1.767915566
249	1.766674594
250	1.764149492
251	1.762540225
252	1.760742833
253	1.759562885
254	1.758015671
255	1.754888593
256	1.754185303
257	1.752324712
258	1.751183181
259	1.750263754
260	1.748602108
261	1.744994146
262	1.739941527
263	1.733986117
264	1.729896905
265	1.72344885
266	1.721369932
267	1.720592839
268	1.719237532
269	1.718213648
270	1.717513739
271	1.715302521
272	1.711916498
273	1.711147967
274	1.709451732
275	1.704601699
276	1.700706496
277	1.694877909
278	1.694407444
279	1.692742368
280	1.692234571
281	1.691544967
282	1.690682645
283	1.684588994
284	1.684146076
285	1.677589495
286	1.67679542
287	1.671289934
288	1.666870756
289	1.666033438
290	1.664294451
291	1.661386407
292	1.660649524
293	1.656983658
294	1.653714415
295	1.647565196
296	1.642870202
297	1.641441915
298	1.641034614
299	1.635632744
300	1.632013758
301	1.631364074
302	1.629918045
303	1.629279362
304	1.628533164
305	1.625169071
306	1.624685648
307	1.620086864
308	1.618260131
309	1.613540969
310	1.611552173
311	1.610399564
312	1.609267576
313	1.608666527
314	1.604064722
315	1.60001052
316	1.596079878
317	1.591273362
318	1.589117193
319	1.583584304
320	1.579091435
321	1.578468546
322	1.575811985
323	1.572916192
324	1.570362126
325	1.567540148
326	1.561993241
327	1.561571824
328	1.557480979
329	1.551003862
330	1.550465283
331	1.545254905
332	1.542395597
333	1.53923369
334	1.538455361
335	1.536439507
336	1.533159806
337	1.532039276
