iter	Passed	Remaining
0	1	1334
1	2	1061
2	2	949
3	3	895
4	4	864
5	5	836
6	5	815
7	6	801
8	7	789
9	7	779
10	8	772
11	9	767
12	10	762
13	10	755
14	11	749
15	12	744
16	12	739
17	13	736
18	14	732
19	14	730
20	15	725
21	16	722
22	16	718
23	17	716
24	18	714
25	18	711
26	19	709
27	20	707
28	21	704
29	21	702
30	22	700
31	23	698
32	23	696
33	24	694
34	25	692
35	25	690
36	26	688
37	26	679
38	27	671
39	27	663
40	28	656
41	28	650
42	28	642
43	29	635
44	29	629
45	30	623
46	30	617
47	30	612
48	31	607
49	31	602
50	32	596
51	32	592
52	32	587
53	33	582
54	33	578
55	34	573
56	34	568
57	34	565
58	35	561
59	35	557
60	35	552
61	36	548
62	36	545
63	37	542
64	37	546
65	38	543
66	38	539
67	39	535
68	39	532
69	39	529
70	40	527
71	40	524
72	41	521
73	41	519
74	41	516
75	42	514
76	42	511
77	43	509
78	43	506
79	43	503
80	44	501
81	44	498
82	44	496
83	45	494
84	45	491
85	46	489
86	46	487
87	46	485
88	47	482
89	47	480
90	47	479
91	48	476
92	48	474
93	49	472
94	49	470
95	49	468
96	50	466
97	50	464
98	50	462
99	51	460
100	51	458
101	51	457
102	52	455
103	52	453
104	53	452
105	53	450
106	53	449
107	54	447
108	54	446
109	54	444
110	55	443
111	55	441
112	56	440
113	56	439
114	56	437
115	57	437
116	57	436
117	58	435
118	58	433
119	58	431
120	59	430
121	59	429
122	59	427
123	60	426
124	60	424
125	61	423
126	61	422
127	61	421
128	62	420
129	62	419
130	63	417
131	63	416
132	63	415
133	64	414
134	64	412
135	64	411
136	65	410
137	65	409
138	65	408
139	66	409
140	67	408
141	67	407
142	67	406
143	68	405
144	68	404
145	68	403
146	69	401
147	69	401
148	70	399
149	70	398
150	70	397
151	71	396
152	71	395
153	71	394
154	72	393
155	72	392
156	72	391
157	73	390
158	73	389
159	74	388
160	74	388
161	74	387
162	75	387
163	75	386
164	76	385
165	76	384
166	76	383
167	77	383
168	77	382
169	78	381
170	78	380
171	78	379
172	79	378
173	79	377
174	79	377
175	80	376
176	80	376
177	81	375
178	81	375
179	82	374
180	82	373
181	82	372
182	83	372
183	83	371
184	84	370
185	84	369
186	84	368
187	85	367
188	85	366
189	85	366
190	86	365
191	86	365
192	87	364
193	87	363
194	87	362
195	88	361
196	88	360
197	88	360
198	89	359
199	90	360
200	90	359
201	90	358
202	91	358
203	91	357
204	91	356
205	92	356
206	92	355
207	93	354
208	93	354
209	94	353
210	94	353
211	94	352
212	95	351
213	95	351
214	95	350
215	96	349
216	96	349
217	97	348
218	97	348
219	98	347
220	98	346
221	98	345
222	99	345
223	99	344
224	99	344
225	100	343
226	100	342
227	101	342
228	101	341
229	101	341
230	102	340
231	102	340
232	103	339
233	103	338
234	103	338
235	104	337
236	104	336
237	104	335
238	105	335
239	105	335
240	107	339
241	108	338
242	108	338
243	109	338
244	109	338
245	110	337
246	110	336
247	110	336
248	111	335
249	111	335
250	112	334
251	112	333
252	112	333
253	113	332
254	113	332
255	114	332
256	114	332
257	115	331
258	115	331
259	116	330
260	116	330
261	116	329
262	117	328
263	117	328
264	118	327
265	118	326
266	118	326
267	119	325
268	119	325
269	120	324
270	120	323
271	120	323
272	121	322
273	121	322
274	122	321
275	122	321
276	122	321
277	123	320
278	123	320
279	124	319
280	124	318
281	124	318
282	125	317
283	125	316
284	126	316
285	126	315
286	126	315
287	127	314
288	127	313
289	128	313
290	128	312
291	128	312
292	129	311
293	129	311
294	129	310
295	130	310
296	130	309
297	131	308
298	131	308
299	131	307
300	132	307
301	132	306
302	133	306
303	133	305
304	133	304
305	134	304
306	134	303
307	134	303
308	135	302
309	135	301
310	136	301
311	136	300
312	136	300
313	137	299
314	137	299
315	137	298
316	138	298
317	138	297
318	139	296
319	139	296
320	139	295
321	140	295
322	140	294
323	140	293
324	141	294
325	141	293
326	142	293
327	142	292
328	143	292
329	143	291
330	144	291
331	144	290
332	144	290
333	145	289
334	146	290
335	146	289
336	146	289
337	147	288
