iter	RMSE
0	1.055403285
1	1.031976507
2	1.010253251
3	0.991035451
4	0.9728422853
5	0.9561973051
6	0.9410615244
7	0.9267496518
8	0.9131193337
9	0.900705814
10	0.8891239381
11	0.8785428538
12	0.8688503593
13	0.8596109593
14	0.8517018396
15	0.8442832897
16	0.8373149632
17	0.830678378
18	0.8250665713
19	0.8193889952
20	0.814384417
21	0.8097634253
22	0.8051452891
23	0.8010967987
24	0.7974345355
25	0.7941544657
26	0.7909647836
27	0.7878274819
28	0.7849306351
29	0.7824735699
30	0.7801007752
31	0.7780860378
32	0.7760695558
33	0.7741790812
34	0.7726180732
35	0.7709940784
36	0.7697028389
37	0.7681818643
38	0.7668017657
39	0.7653342104
40	0.7639806958
41	0.7628597044
42	0.761770658
43	0.760737506
44	0.7596856523
45	0.7587920029
46	0.7578313858
47	0.7568911015
48	0.7560433142
49	0.7552645558
50	0.7545292316
51	0.7537458451
52	0.7530570353
53	0.7523375168
54	0.7516731576
55	0.7508556061
56	0.7504144344
57	0.7497219693
58	0.7490453004
59	0.7483609481
60	0.7477333166
61	0.747223574
62	0.7468081398
63	0.7463612571
64	0.7456317795
65	0.7451921454
66	0.7449414209
67	0.7445249583
68	0.7441725812
69	0.7437542808
70	0.7432998763
71	0.7427795545
72	0.7424055617
73	0.7419750232
74	0.7416924509
75	0.7413215771
76	0.7408851956
77	0.740425815
78	0.7400799823
79	0.7397872847
80	0.7395933456
81	0.739289223
82	0.7390652591
83	0.7387197469
84	0.7384582817
85	0.7381779819
86	0.7377878998
87	0.7374055281
88	0.7371001339
89	0.7370458278
90	0.7368224844
91	0.7366452654
92	0.7363937564
93	0.736118694
94	0.7359045485
95	0.7356832669
96	0.7354823713
97	0.7351754991
98	0.7348790972
99	0.7346000745
100	0.734301096
101	0.7341310617
102	0.7339700707
103	0.7337894707
104	0.7336228616
105	0.7333568439
106	0.7331088526
107	0.7328303369
108	0.7325129537
109	0.7323443549
110	0.7321138353
111	0.7319128917
112	0.7317224756
113	0.7315238705
114	0.7313685566
115	0.7311641157
116	0.7309186103
117	0.7306367101
118	0.7303772641
119	0.730247405
120	0.7301241444
121	0.7299220731
122	0.7298117775
123	0.7296519293
124	0.7295364876
125	0.7293830935
126	0.7290623598
127	0.7289095897
128	0.7287604838
129	0.728712661
130	0.7284515616
131	0.7282340991
132	0.7280420086
133	0.7279158667
134	0.7277923191
135	0.727593671
136	0.7274976305
137	0.727307314
138	0.7271112205
139	0.7268448429
140	0.7266390782
141	0.7264502524
142	0.7261599174
143	0.7260812455
144	0.7259969063
145	0.725786985
146	0.7256834291
147	0.7255892578
148	0.725455133
149	0.7253452482
150	0.725165575
151	0.7250098736
152	0.724994309
153	0.7249153568
154	0.7246866022
155	0.7245131909
156	0.7242829556
157	0.723986807
158	0.723957515
159	0.7238672727
160	0.7236633954
161	0.723511499
162	0.7234374514
163	0.7233992129
164	0.7233008155
165	0.723172321
166	0.7230601057
167	0.722899236
168	0.7228108496
169	0.7225283345
170	0.7224690566
171	0.7223580142
172	0.722279598
173	0.7221483842
174	0.721965184
175	0.7218190941
176	0.7216802442
177	0.7215931972
178	0.7214826021
179	0.7213375181
180	0.72122624
181	0.7209921101
182	0.7207794591
183	0.720589262
184	0.7204694736
185	0.7203562973
186	0.7202257821
187	0.7200828786
188	0.7199753755
189	0.7198206907
