iter	Passed	Remaining
0	10	21104
1	19	19443
2	26	17802
3	36	18330
4	54	21553
5	66	22132
6	73	20976
7	83	20830
8	89	19900
9	96	19199
10	104	18855
11	111	18541
12	119	18215
13	128	18179
14	134	17828
15	140	17474
16	149	17469
17	160	17680
18	171	17893
19	186	18431
20	199	18772
21	211	18971
22	224	19303
23	233	19201
24	242	19145
25	255	19401
26	268	19602
27	278	19627
28	291	19837
29	303	19938
30	315	20013
31	328	20188
32	336	20082
33	346	20027
34	355	19937
35	364	19894
36	372	19776
37	380	19646
38	389	19596
39	397	19475
40	407	19449
41	414	19326
42	422	19247
43	431	19186
44	440	19147
45	449	19083
46	457	19002
47	465	18915
48	475	18950
49	485	18927
50	492	18831
51	502	18810
52	510	18750
53	517	18633
54	524	18531
55	532	18483
56	539	18379
57	546	18298
58	554	18249
59	565	18288
60	575	18278
61	582	18220
62	590	18152
63	598	18107
64	605	18033
65	613	17988
66	622	17951
67	631	17940
68	640	17914
69	648	17878
70	659	17910
71	670	17965
72	682	18016
73	689	17955
74	699	17946
75	712	18031
76	723	18056
77	737	18169
78	748	18204
79	754	18114
80	763	18089
81	772	18059
82	784	18123
83	791	18058
84	799	18010
85	807	17969
86	815	17925
87	823	17902
88	833	17887
89	836	17753
90	842	17680
91	849	17614
92	858	17598
93	865	17558
94	872	17503
95	881	17474
96	890	17462
97	897	17415
98	906	17406
99	913	17365
100	921	17334
101	930	17320
102	938	17279
103	945	17244
104	954	17221
105	962	17195
106	970	17166
107	976	17113
108	983	17070
109	991	17029
110	998	16998
111	1008	16993
112	1015	16963
113	1023	16935
114	1031	16911
115	1039	16878
116	1049	16883
117	1057	16873
118	1066	16864
119	1075	16856
120	1084	16847
121	1094	16843
122	1101	16816
123	1108	16776
124	1115	16734
125	1125	16732
126	1136	16755
127	1144	16740
128	1155	16752
129	1161	16705
130	1170	16703
131	1184	16756
132	1193	16760
133	1201	16736
134	1211	16739
135	1223	16765
136	1237	16826
137	1246	16815
138	1253	16775
139	1261	16764
140	1271	16765
141	1280	16750
142	1287	16725
143	1295	16692
144	1304	16690
145	1316	16717
146	1322	16672
147	1329	16632
148	1336	16602
149	1345	16591
150	1352	16566
151	1359	16531
152	1362	16445
153	1369	16410
154	1377	16394
155	1385	16374
156	1393	16361
157	1400	16332
158	1406	16289
159	1415	16274
160	1426	16298
161	1434	16278
162	1442	16256
163	1448	16216
164	1457	16209
165	1467	16211
166	1475	16200
167	1485	16197
168	1492	16171
169	1501	16163
170	1511	16162
171	1525	16213
172	1534	16208
173	1546	16226
174	1555	16220
175	1563	16202
176	1574	16211
177	1583	16209
178	1592	16198
179	1601	16188
180	1608	16166
181	1620	16182
182	1628	16174
183	1638	16175
184	1651	16200
185	1659	16185
186	1667	16167
187	1676	16162
188	1688	16182
189	1697	16172
190	1709	16194
191	1721	16214
192	1732	16219
193	1742	16219
194	1753	16229
195	1761	16214
196	1771	16216
197	1783	16227
198	1790	16206
199	1802	16225
200	1810	16200
201	1820	16204
202	1834	16243
203	1849	16279
204	1860	16294
205	1869	16277
206	1871	16209
207	1878	16180
208	1885	16156
209	1894	16145
210	1900	16117
211	1909	16103
212	1917	16084
213	1925	16071
214	1930	16026
215	1937	16003
216	1944	15980
217	1953	15968
218	1963	15971
219	1971	15953
220	1980	15946
221	1989	15932
222	1998	15927
223	2001	15866
224	2008	15844
225	2018	15843
226	2030	15856
227	2037	15836
228	2045	15818
229	2052	15797
230	2056	15748
231	2064	15730
232	2073	15723
233	2081	15709
234	2089	15695
235	2097	15678
236	2105	15664
237	2113	15649
238	2116	15592
239	2124	15580
240	2130	15551
241	2138	15534
242	2141	15486
243	2148	15465
244	2155	15442
245	2164	15433
246	2171	15409
247	2180	15402
248	2186	15377
249	2192	15346
250	2199	15325
251	2208	15316
252	2214	15294
253	2218	15246
254	2228	15252
255	2237	15242
256	2245	15230
257	2253	15212
258	2261	15199
259	2268	15182
260	2277	15174
261	2285	15162
262	2294	15154
263	2301	15132
264	2305	15091
265	2310	15061
266	2316	15032
267	2324	15019
268	2326	14972
269	2334	14957
270	2342	14945
271	2350	14933
272	2356	14908
273	2364	14892
274	2371	14877
275	2377	14852
276	2384	14833
277	2390	14806
278	2396	14783
279	2404	14769
280	2409	14742
281	2416	14723
282	2419	14680
283	2425	14655
284	2429	14620
285	2436	14599
286	2441	14569
287	2447	14546
288	2453	14526
289	2459	14502
290	2466	14483
291	2473	14470
292	2476	14430
293	2482	14404
294	2490	14394
295	2498	14381
296	2508	14382
297	2516	14369
298	2523	14354
299	2532	14350
300	2541	14348
301	2551	14347
302	2560	14340
303	2570	14337
304	2577	14321
305	2586	14320
306	2591	14289
307	2597	14271
308	2604	14252
309	2611	14239
310	2618	14222
311	2625	14202
312	2632	14187
313	2638	14167
314	2644	14146
315	2652	14138
316	2663	14141
317	2672	14135
318	2684	14144
319	2695	14153
320	2705	14149
321	2712	14135
322	2719	14118
323	2731	14129
324	2743	14139
325	2749	14120
326	2761	14126
327	2772	14130
328	2777	14107
329	2786	14100
330	2793	14085
331	2801	14074
332	2808	14057
333	2813	14034
334	2820	14017
335	2829	14014
336	2835	13993
337	2845	13990
338	2854	13984
339	2862	13974
340	2869	13960
341	2876	13946
342	2882	13926
343	2890	13914
344	2897	13897
345	2902	13875
346	2911	13868
347	2917	13849
348	2923	13828
349	2928	13805
350	2937	13798
351	2944	13787
352	2951	13770
353	2960	13765
354	2970	13766
355	2977	13751
356	2985	13740
357	2994	13733
358	3003	13727
359	3009	13710
360	3017	13699
361	3023	13682
362	3030	13666
363	3038	13654
364	3044	13639
365	3054	13636
366	3060	13618
367	3067	13602
368	3079	13609
369	3092	13621
370	3100	13612
371	3109	13606
372	3117	13597
373	3125	13586
374	3133	13578
375	3138	13556
376	3145	13542
377	3151	13523
378	3158	13509
379	3166	13500
380	3172	13480
381	3181	13474
382	3187	13459
383	3195	13449
384	3203	13437
385	3210	13426
386	3219	13419
387	3228	13411
388	3235	13400
389	3242	13386
390	3249	13372
391	3257	13360
392	3265	13351
393	3272	13338
394	3280	13330
395	3289	13323
396	3296	13310
397	3304	13301
398	3311	13286
399	3319	13276
400	3325	13259
401	3334	13256
402	3342	13245
403	3348	13226
404	3354	13209
405	3361	13196
406	3367	13178
407	3374	13166
408	3382	13158
409	3390	13149
410	3397	13133
411	3403	13117
412	3410	13104
413	3417	13092
414	3427	13088
415	3436	13083
416	3443	13071
417	3450	13060
418	3455	13040
419	3466	13039
420	3473	13028
421	3481	13018
422	3489	13010
423	3496	12997
424	3506	12995
425	3514	12985
426	3522	12974
427	3531	12969
428	3539	12960
429	3551	12967
430	3559	12959
431	3567	12950
432	3574	12936
433	3583	12930
434	3591	12921
435	3598	12907
436	3607	12904
437	3613	12887
438	3619	12870
439	3627	12859
440	3633	12845
441	3639	12829
442	3646	12815
443	3653	12804
444	3661	12793
445	3667	12780
446	3674	12765
447	3681	12752
448	3688	12740
449	3695	12727
450	3702	12718
451	3711	12711
452	3719	12701
453	3725	12686
454	3732	12673
455	3739	12663
456	3746	12650
457	3754	12641
458	3760	12625
459	3768	12616
460	3777	12609
461	3784	12597
462	3790	12584
463	3798	12573
464	3806	12566
465	3813	12554
466	3820	12542
467	3829	12535
468	3836	12524
469	3844	12516
470	3851	12502
471	3858	12489
472	3865	12480
473	3872	12467
474	3881	12461
475	3888	12449
476	3895	12437
477	3903	12430
478	3912	12423
479	3921	12417
480	3928	12405
481	3936	12396
482	3946	12394
483	3954	12387
484	3962	12376
485	3970	12367
486	3977	12358
487	3985	12349
488	3994	12341
489	4002	12333
490	4010	12325
491	4018	12318
492	4026	12308
493	4035	12301
494	4042	12289
495	4047	12271
496	4055	12264
497	4062	12253
498	4072	12249
499	4079	12239
500	4085	12224
501	4092	12210
502	4099	12201
503	4109	12196
504	4115	12184
505	4123	12175
506	4134	12174
507	4142	12166
508	4149	12155
509	4157	12147
510	4163	12132
511	4171	12123
512	4180	12116
513	4187	12105
514	4194	12095
515	4201	12082
516	4209	12075
517	4217	12065
518	4226	12060
519	4235	12055
520	4243	12047
521	4250	12033
522	4257	12024
523	4266	12017
524	4273	12007
525	4282	11999
526	4294	12002
527	4302	11995
528	4310	11987
529	4317	11975
530	4324	11964
531	4331	11952
532	4338	11940
