iter	Accuracy	Logloss
0	0.5628742515	0.692000133
1	0.5718562874	0.690966866
2	0.6107784431	0.6891818896
3	0.619760479	0.6874238539
4	0.6397205589	0.6860343149
5	0.6596806387	0.6844243517
6	0.6626746507	0.6822746405
7	0.6746506986	0.6809946015
8	0.6716566866	0.6788936919
9	0.6736526946	0.6765286496
10	0.6746506986	0.674714909
11	0.6816367265	0.6723473031
12	0.6806387226	0.671535694
13	0.6866267465	0.6691863787
14	0.6866267465	0.6665891645
15	0.6936127745	0.6655069892
16	0.6916167665	0.6645992279
17	0.7035928144	0.6627746119
18	0.7035928144	0.6607201949
19	0.7075848303	0.6593955842
20	0.7105788423	0.6577650405
21	0.7145708583	0.6554766632
22	0.7155688623	0.6542939432
23	0.7125748503	0.6528257624
24	0.7165668663	0.6509158418
25	0.7185628743	0.6499046344
26	0.7145708583	0.6485630288
27	0.7205588822	0.647238282
28	0.7245508982	0.6454761373
29	0.7315369261	0.6439588391
30	0.7255489022	0.6426033224
31	0.7305389222	0.6412772989
32	0.7265469062	0.6398878661
33	0.7275449102	0.638683104
34	0.7325349301	0.6373760049
35	0.7425149701	0.6358113247
36	0.7385229541	0.6349399733
37	0.7365269461	0.6336294478
38	0.744510978	0.6324561739
39	0.744510978	0.6311775852
40	0.749500998	0.6299088361
41	0.748502994	0.6283054819
42	0.7584830339	0.6268041013
43	0.7594810379	0.6259800038
44	0.7574850299	0.6259309386
45	0.755489022	0.6250916146
46	0.751497006	0.624112426
47	0.7564870259	0.6227726109
48	0.7564870259	0.6216942563
49	0.7594810379	0.6202801441
50	0.7604790419	0.6189900808
51	0.7604790419	0.6176964933
52	0.755489022	0.6165076472
53	0.754491018	0.6156600091
54	0.7574850299	0.6146837051
55	0.7564870259	0.6136151478
56	0.7584830339	0.6131327849
57	0.7574850299	0.6116754471
58	0.754491018	0.6110033233
59	0.7584830339	0.6092806641
60	0.7594810379	0.6084029142
61	0.7594810379	0.6072492416
62	0.7654690619	0.6062497817
63	0.7654690619	0.6046915539
64	0.7674650699	0.603895251
65	0.7704590818	0.6031256508
66	0.7704590818	0.6023268275
67	0.7764471058	0.6005851291
68	0.7784431138	0.5998332747
69	0.7774451098	0.5991303594
70	0.7774451098	0.5982612298
71	0.7804391218	0.5970797648
72	0.7824351297	0.5961738498
73	0.7844311377	0.5955454406
74	0.7814371257	0.5947307036
75	0.7844311377	0.5938673134
76	0.7864271457	0.5931140628
77	0.7864271457	0.5918254396
78	0.7904191617	0.5904281891
79	0.7864271457	0.5895002208
80	0.7934131737	0.5880882421
81	0.7924151697	0.586916746
82	0.7954091816	0.5859911613
83	0.7944111776	0.585309061
84	0.7944111776	0.5851025382
85	0.8023952096	0.583624681
86	0.8023952096	0.5823797501
87	0.8003992016	0.5815467251
