iter	Passed	Remaining
0	3	3968
1	5	2992
2	8	2842
3	10	2702
4	13	2645
5	15	2544
6	18	2592
7	20	2530
8	23	2560
9	25	2561
10	28	2561
11	30	2538
12	33	2556
13	36	2578
14	40	2669
15	42	2639
16	44	2576
17	46	2516
18	47	2456
19	49	2437
20	52	2433
21	55	2449
22	59	2519
23	61	2516
24	64	2532
25	67	2527
26	69	2518
27	72	2510
28	74	2511
29	77	2494
30	79	2484
31	81	2472
32	84	2466
33	86	2455
34	88	2445
35	90	2436
36	93	2430
37	95	2415
38	97	2405
39	98	2373
40	100	2345
41	101	2315
42	102	2285
43	104	2268
44	104	2221
45	105	2194
46	107	2169
47	108	2146
48	109	2124
49	110	2104
50	112	2084
51	113	2063
52	114	2044
53	115	2025
54	116	2008
55	118	1993
56	119	1977
57	120	1964
58	122	1948
59	123	1935
60	124	1922
61	126	1909
62	127	1896
63	128	1882
64	130	1872
65	131	1865
66	133	1856
67	135	1853
68	138	1865
69	141	1880
70	143	1877
71	145	1874
72	147	1866
73	148	1855
74	149	1845
75	151	1842
76	152	1832
77	154	1821
78	155	1813
79	156	1805
80	158	1802
81	160	1796
82	161	1786
83	162	1776
84	163	1759
85	165	1754
86	166	1744
87	167	1737
88	168	1728
89	170	1721
90	171	1716
91	173	1710
92	174	1702
93	175	1695
94	177	1687
95	178	1681
96	179	1675
97	181	1668
98	182	1661
99	183	1655
100	185	1651
101	186	1644
102	188	1641
103	190	1645
104	192	1642
105	194	1637
106	195	1632
107	196	1625
108	198	1620
109	199	1611
110	200	1605
111	201	1600
112	203	1595
113	204	1590
114	206	1589
115	207	1584
116	209	1577
117	210	1572
118	212	1569
119	213	1564
120	214	1559
121	216	1556
122	217	1551
123	219	1548
124	220	1543
125	221	1538
126	222	1526
127	223	1520
128	224	1516
129	226	1513
130	227	1508
131	228	1502
132	229	1499
133	231	1495
134	232	1492
135	234	1487
136	235	1483
137	236	1477
138	237	1473
139	239	1470
140	240	1467
141	242	1464
142	243	1460
143	245	1457
144	246	1455
145	248	1452
146	249	1448
147	250	1443
148	252	1439
149	253	1436
150	254	1432
151	256	1428
152	257	1425
153	258	1421
154	260	1418
155	261	1415
156	263	1412
157	264	1409
158	264	1401
159	266	1398
160	267	1395
161	269	1392
162	270	1388
163	271	1385
164	273	1382
165	274	1379
166	275	1375
167	277	1373
168	278	1369
169	280	1368
170	281	1365
171	282	1361
172	284	1358
173	285	1356
174	286	1349
175	287	1347
176	289	1343
177	290	1340
178	291	1336
179	292	1330
180	293	1328
181	294	1325
182	296	1322
183	297	1319
184	298	1316
185	300	1314
186	301	1311
187	302	1308
188	304	1304
189	305	1302
190	306	1299
191	308	1296
192	309	1293
193	310	1290
194	312	1288
195	313	1285
196	314	1282
197	315	1279
198	317	1277
199	318	1274
200	319	1271
201	321	1270
202	322	1266
203	323	1263
204	325	1260
205	326	1257
206	327	1256
207	329	1254
208	330	1251
209	332	1249
210	333	1246
211	334	1244
212	336	1241
213	337	1239
214	338	1237
215	340	1234
216	341	1232
217	342	1229
218	344	1227
219	345	1224
220	346	1222
221	348	1221
222	349	1218
223	350	1215
224	352	1213
225	353	1212
226	355	1209
227	356	1207
228	357	1204
229	358	1201
230	360	1199
231	362	1198
232	363	1195
233	364	1193
234	365	1190
235	367	1188
236	367	1184
237	369	1182
238	370	1181
239	372	1178
240	373	1176
241	375	1174
242	376	1173
243	377	1170
244	379	1168
245	380	1165
246	381	1164
247	383	1161
248	384	1160
249	388	1164
250	389	1163
251	391	1160
252	392	1158
253	393	1156
254	395	1154
255	396	1152
256	397	1149
257	399	1147
258	400	1145
259	401	1143
260	403	1141
261	404	1138
262	405	1136
263	407	1134
264	408	1132
265	409	1130
266	411	1128
267	412	1125
268	413	1124
269	414	1121
270	416	1119
271	417	1118
272	419	1116
273	420	1113
274	421	1111
275	423	1109
276	424	1107
277	425	1106
278	427	1104
279	428	1102
280	429	1099
281	431	1097
282	432	1095
283	433	1093
284	435	1091
285	436	1089
286	437	1087
287	439	1085
288	440	1083
289	441	1081
290	443	1079
291	444	1077
292	445	1075
293	446	1073
294	448	1070
295	449	1069
296	450	1066
297	452	1065
298	453	1062
299	454	1060
300	455	1058
301	457	1056
302	458	1054
303	459	1052
